Data,Regional,Unidade,Realizados,Total,Percentual
2026-09-24,Geo CO,Brasília,58,75,77.33
2026-09-24,Geo CO,Cuiabá,40,44,90.91
2026-09-24,Geo CO,Geo CO,1,2,50.0
2026-09-24,Geo CO,Geo CO DF,0,3,0.0
2026-09-24,Geo CO,Manaus,70,73,95.89
2026-09-24,Geo CO,Rondonópolis,15,15,100.0
2026-09-24,Geo MG,Alfenas,15,15,100.0
2026-09-24,Geo MG,Geo MG,4,8,50.0
2026-09-24,Geo MG,Ipatinga,24,26,92.31
2026-09-24,Geo MG,Minas,56,60,93.33
2026-09-24,Geo MG,Pouso Alegre,29,30,96.67
2026-09-24,Geo MG,Poços de Caldas,13,13,100.0
2026-09-24,Geo MG,Santa Luzia,87,99,87.88
2026-09-24,Geo MG,Sete Lagoas,17,19,89.47
2026-09-24,Geo MG,Uberaba,37,39,94.87
2026-09-24,Geo MG,Uberlândia,27,28,96.43
2026-09-24,Geo MG,Varginha,23,24,95.83
2026-09-24,Geo NE,Bahia,87,96,90.62
2026-09-24,Geo NE,Barreira,0,1,0.0
2026-09-24,Geo NE,Cabo,21,35,60.0
2026-09-24,Geo NE,Camaçari,22,23,95.65
2026-09-24,Geo NE,Campina Grande,22,22,100.0
2026-09-24,Geo NE,Caruarú,19,27,70.37
2026-09-24,Geo NE,Feira de Santana,54,57,94.74
2026-09-24,Geo NE,Geo NE,1,2,50.0
2026-09-24,Geo NE,Guanambi,10,14,71.43
2026-09-24,Geo NE,Ilhéus,27,32,84.38
2026-09-24,Geo NE,Lapa,11,15,73.33
2026-09-24,Geo NE,Maceió,31,37,83.78
2026-09-24,Geo NE,Nordeste,51,76,67.11
2026-09-24,Geo NE,Paraíba,23,33,69.7
2026-09-24,Geo NE,Sergipe,23,28,82.14
2026-09-24,Geo NE,Vitória da Conquista,18,22,81.82
2026-09-24,Geo NO,Belém,45,70,64.29
2026-09-24,Geo NO,Ceará,11,23,47.83
2026-09-24,Geo NO,Fortaleza,66,81,81.48
2026-09-24,Geo NO,Geo NO,1,4,25.0
2026-09-24,Geo NO,Imperatriz,23,26,88.46
2026-09-24,Geo NO,Natal,57,61,93.44
2026-09-24,Geo NO,São Luís,45,51,88.24
2026-09-24,Geo RJ/ES,CD RJ,66,66,100.0
2026-09-24,Geo RJ/ES,Campos dos Goytacazes,51,52,98.08
2026-09-24,Geo RJ/ES,Geo RJ/ES,0,13,0.0
2026-09-24,Geo RJ/ES,Jacarepaguá,43,62,69.35
2026-09-24,Geo RJ/ES,Niterói,55,59,93.22
2026-09-24,Geo RJ/ES,Nova Friburgo,27,27,100.0
2026-09-24,Geo RJ/ES,Nova Iguaçu,19,23,82.61
2026-09-24,Geo RJ/ES,Pavuna,36,38,94.74
2026-09-24,Geo RJ/ES,Petrópolis,25,27,92.59
2026-09-24,Geo RJ/ES,São Cristovão,38,40,95.0
2026-09-24,Geo RJ/ES,Vitória,54,56,96.43
2026-09-24,Geo RJ/ES,Volta Redonda,33,34,97.06
2026-09-24,Geo SP,Agudos,18,19,94.74
2026-09-24,Geo SP,Araraquara,26,27,96.3
2026-09-24,Geo SP,Araçatuba,28,29,96.55
2026-09-24,Geo SP,Barueri,55,58,94.83
2026-09-24,Geo SP,Campinas,67,71,94.37
2026-09-24,Geo SP,Capital,65,65,100.0
2026-09-24,Geo SP,Diadema,68,77,88.31
2026-09-24,Geo SP,Embu,51,52,98.08
2026-09-24,Geo SP,Geo SP,6,8,75.0
2026-09-24,Geo SP,Guarulhos,52,52,100.0
2026-09-24,Geo SP,Jaú,17,18,94.44
2026-09-24,Geo SP,Jundiaí,40,40,100.0
2026-09-24,Geo SP,Mauá,38,40,95.0
2026-09-24,Geo SP,Mogi Mirim,31,36,86.11
2026-09-24,Geo SP,Mooca - Office,50,51,98.04
2026-09-24,Geo SP,Norte,36,36,100.0
2026-09-24,Geo SP,Piracicaba,23,24,95.83
2026-09-24,Geo SP,Praia Grande,46,50,92.0
2026-09-24,Geo SP,Presidente Prudente,28,30,93.33
2026-09-24,Geo SP,Ribeirão Preto,41,42,97.62
2026-09-24,Geo SP,Suzano,40,40,100.0
2026-09-24,Geo SP,São José dos Campos,29,29,100.0
2026-09-24,Geo SP,Taubaté,18,18,100.0
2026-09-24,Geo SP,Votorantim,35,36,97.22
2026-09-24,Geo Sul,Blumenau,17,19,89.47
2026-09-24,Geo Sul,Camboriu,27,29,93.1
2026-09-24,Geo Sul,Cascavel,23,24,95.83
2026-09-24,Geo Sul,Caxias do Sul,14,15,93.33
2026-09-24,Geo Sul,Curitiba,81,88,92.05
2026-09-24,Geo Sul,Florianópolis,35,41,85.37
2026-09-24,Geo Sul,Foz do Iguaçu,20,20,100.0
2026-09-24,Geo Sul,Francisco Beltrão,23,25,92.0
2026-09-24,Geo Sul,Geo PR/SPI,0,5,0.0
2026-09-24,Geo Sul,Geo Sul,0,4,0.0
2026-09-24,Geo Sul,Gravataí,18,22,81.82
2026-09-24,Geo Sul,Joinville,29,31,93.55
2026-09-24,Geo Sul,Londrina,44,49,89.8
2026-09-24,Geo Sul,Paranaguá,16,16,100.0
2026-09-24,Geo Sul,Pelotas,29,30,96.67
2026-09-24,Geo Sul,Porto Alegre,50,57,87.72
2026-09-24,Geo Sul,Santa Cruz do Sul,21,24,87.5
2026-09-24,Geo Sul,Santa Maria,10,16,62.5
2026-09-24,Geo Sul,Sapucaia do Sul,41,43,95.35
